,att_id,att_name,att_cat,att_price
0,102,The Coffee House,"Đồ uống, thư giãn",0
1,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",0
2,48,Bún Chả Ngọc Khánh,"Ẩm thực, nghỉ ngơi",0
3,9,Vườn Hoa Hàng Đậu,"Đi dạo, ngắm cảnh",0
4,123,Industry Cafe,"Đồ uống, thư giãn",0
5,121,Công viên Thống Nhất,"Đi dạo, ngắm cảnh",0
6,170,Green Palm Gallery,"Triển lãm, nghệ thuật",0
7,38,Quán Xôi Xéo Oanh Oanh,"Ẩm thực, nghỉ ngơi",0
8,157,Chùa Quán Sứ,"Văn hóa tôn giáo, tâm linh",0
9,70,Cộng Cà Phê Trung Hòa,"Đồ uống, thư giãn",0
10,79,Cốm Làng Vòng Bà Hoản,"Ẩm thực, nghỉ ngơi",0
11,91,Ga Cát Linh,"Tàu điện, chụp ảnh",0
12,5,Đường Phan Đình Phùng,"Đi dạo, ngắm cảnh",0
13,175,Nhà Thờ Lớn Hà Nội,"Văn hóa tôn giáo, tâm linh",0
14,177,Hồ Gươm (Phố đi bộ hồ Gươm),"Đi dạo, ngắm cảnh",0
15,52,Lẩu Ếch Hà My,"Ẩm thực, nghỉ ngơi",0
16,178,Tượng Đài Vua Lý Thái Tổ,"Đi dạo, ngắm cảnh",0
17,21,Bảo tàng Lịch sử Quân sự Việt Nam,"Văn hóa, lịch sử, nghệ thuật",0
18,56,Bánh Xèo Nem Lụi Ngọc Dương Đội Cấn,"Ẩm thực, nghỉ ngơi",0
