,att_id,att_name,att_cat,att_price
0,33,Chè Thái Đội Cấn,"Ẩm thực, nghỉ ngơi",0
1,91,Ga Cát Linh,"Tàu điện, chụp ảnh",0
2,137,VinKE & Thủy Cung Times City,"Thủy cung, vui chơi giải trí",0
3,180,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",0
4,8,Nhà Thờ Cửa Bắc,"Văn hóa tôn giáo, tâm linh",0
5,179,Đền Ngọc Sơn,"Văn hóa tôn giáo, tâm linh",0
6,20,Vườn hoa Lênin,"Đi dạo, ngắm cảnh",0
7,3,STAR3 CLUB,"Vui chơi, giải trí về đêm",0
8,30,Chùa Một Cột,"Văn hóa tôn giáo, tâm linh",0
9,115,Buffet Chay Hương Thiền,Ẩm thực chay,0
