,att_id,att_name,att_cat,att_price
0,36,Tiny Cafe,"Đồ uống, thư giãn",0
1,190,Trung tâm Nghệ thuật đương đại Vincom,"Triển lãm, nghệ thuật",0
2,146,Maison Sen Buffet,"Ẩm thực, nghỉ ngơi",0
3,72,AHA Cafe Trung Kính,"Đồ uống, thư giãn",0
4,52,Lẩu Ếch Hà My,"Ẩm thực, nghỉ ngơi",0
5,161,Bún riêu Huyền Thu,"Ẩm thực, nghỉ ngơi",0
6,78,Trâu Kinh Bắc Thành Thái,"Ẩm thực, nghỉ ngơi",0
7,112,The Coffee House Hào Nam,"Đồ uống, thư giãn",0
8,186,Việt Phủ Thành Chương,"Kiến trúc, nghệ thuật",0
9,63,Twitter Beans Coffee Hoàng Đạo Thúy,"Đồ uống, thư giãn",0
10,104,Xưởng Cafe Hoàng Cầu,"Đồ uống, thư giãn",0
11,22,Cột cờ Hà Nội,"Văn hóa, lịch sử, nghệ thuật",0
12,100,Chè Thanh Vĩnh Hồ,"Ẩm thực, nghỉ ngơi",0
13,191,Vinhomes Royal City,Trung tâm thương mại,0
14,187,Nhà văn hóa quận Thanh Xuân,"Tổ hợp thể thao, đi dạo ngắm cảnh",0
15,4,Bốt Nước Hàng Đậu,"Đi dạo, ngắm cảnh",0
16,113,Bánh Xèo Tôn Đức Thắng,"Ẩm thực, nghỉ ngơi",0
17,94,Bún Đậu Chùa Láng,"Ẩm thực, nghỉ ngơi",0
18,97,Highlands coffee Yên Lãng,"Đồ uống, thư giãn",0
19,63,Twitter Beans Coffee Hoàng Đạo Thúy,"Đồ uống, thư giãn",0
