,att_id,att_name,att_cat,att_price
0,103,Cộng Cà Phê Thái Hà,"Đồ uống, thư giãn",0
1,162,Trung Nguyên Legend Café,"Đồ uống, thư giãn",0
2,108,Gieo CafeGieo Cafe,"Đồ uống, thư giãn",0
3,113,Bánh Xèo Tôn Đức Thắng,"Ẩm thực, nghỉ ngơi",0
4,135,Công viên Tuổi Trẻ Thủ Đô,"Công viên, đi dạo, ngắm cảnh",0
5,154,Bami Bread Bánh Mì Hội An,"Ẩm thực, nghỉ ngơi",0
6,82,Bảo tàng Dân tộc học Việt Nam,"Văn hóa, lịch sử, nghệ thuật",0
7,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",0
8,81,Chùa Hà,"Văn hóa tôn giáo, tâm linh",0
9,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",0
10,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",0
11,169,Cyril Kongo Hanoi Gallery,"Triển lãm, nghệ thuật",0
12,130,Vincom Center Bà Triệu,Trung tâm thương mại,0
13,15,All Day Coffee 55 Hàng Bún,"Đồ uống, thư giãn",0
14,156,Quán Chay Bồ Đề,Ẩm thực chay,0
15,45,AHA Cafe,"Đồ uống, thư giãn",0
16,52,Lẩu Ếch Hà My,"Ẩm thực, nghỉ ngơi",0
17,179,Đền Ngọc Sơn,"Văn hóa tôn giáo, tâm linh",0
18,159,San Ho seafood restaurant,"Ẩm thực, nghỉ ngơi",0
19,83,The Coffee House Nguyễn Khánh Toàn,"Đồ uống, thư giãn",0
20,99,Laika Cafe Đường Láng,"Đồ uống, thư giãn",0
