,att_id,att_name,att_cat,att_price,score
116,119,Vincom Center Phạm Ngọc Thạch,Trung tâm thương mại,0,5.0
8,9,Vườn Hoa Hàng Đậu,"Đi dạo, ngắm cảnh",0,4.369886914262267
10,11,TỔ CHIM XANH - BLUEBIRDS' NEST,"Đồ uống, thư giãn",0,4.3172311996976305
119,122,The Sipping Bar - Waterfront,"Đồ uống, thư giãn",0,4.144960402974306
69,71,Highlands Coffee Trung Kính,"Đồ uống, thư giãn",0,4.127566730974891
59,60,Pizza 4P's Phan Ké Bính,"Ẩm thực, nghỉ ngơi",0,4.108041393714984
25,26,Cộng Cà Phê đường Điện Biên Phủ,"Đồ uống, thư giãn",0,4.0842437693574
101,104,Xưởng Cafe Hoàng Cầu,"Đồ uống, thư giãn",0,3.8015025553113446
64,66,Cafe Nhạc Trịnh,"Đồ uống, thư giãn",0,3.6550446127086644
77,79,Cốm Làng Vòng Bà Hoản,"Ẩm thực, nghỉ ngơi",0,3.634507182278881
94,97,Highlands coffee Yên Lãng,"Đồ uống, thư giãn",0,3.623929465166981
53,54,Cộng Cà Phê Vạn Phúc,"Đồ uống, thư giãn",0,3.600893149830995
111,114,Cháo Hồng Lương Sử,"Ẩm thực, nghỉ ngơi",0,3.5644488391380946
128,132,Vua Chả Cá Mai Hắc Đế,"Ẩm thực, nghỉ ngơi",0,3.3204358628497346
17,18,Cafe Goethe,"Đồ uống, thư giãn",0,3.3175339319909227
186,191,Vinhomes Royal City,Trung tâm thương mại,0,3.299343124663011
28,29,Lăng Chủ tịch Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",0,3.248917597702814
0,1,Hồ Trúc Bạch,"Đi dạo, ngắm cảnh",0,3.212007545020228
130,134,Highlands Coffee Trần Đại Nghĩa,"Đồ uống, thư giãn",0,3.2015373068290245
99,102,The Coffee House,"Đồ uống, thư giãn",0,3.185675209449542
154,158,Bảo tàng Công An Hà Nội,"Văn hóa, lịch sử, nghệ thuật",0,3.179808651694856
135,139,Cháo Sườn Sụn Huyền Anh Đồng Xuân,"Ẩm thực, nghỉ ngơi",0,3.1648153422576684
103,106,Skyline Coffee,"Đồ uống, thư giãn",0,3.10540636884258
43,44,Highlands Coffee Kim Mã,"Đồ uống, thư giãn",0,3.052938742389145
62,64,Vincom Center Trần Duy Hưng,Trung tâm thương mại,0,3.0396740522598265
86,88,Highlands Coffee Pullman HN,"Đồ uống, thư giãn",0,3.0187246193007127
91,94,Bún Đậu Chùa Láng,"Ẩm thực, nghỉ ngơi",0,2.9770675809540137
165,169,Cyril Kongo Hanoi Gallery,"Triển lãm, nghệ thuật",0,2.952741518569667
151,155,Nhà hàng Chay Vị Lai,Ẩm thực chay,0,2.900820243296451
22,23,Hoàng Thành Thăng Long,"Văn hóa, lịch sử, nghệ thuật",0,2.8830324819211484
149,153,Tam An Lac,Ẩm thực chay,0,2.8426024945857478
4,5,Đường Phan Đình Phùng,"Đi dạo, ngắm cảnh",0,2.8369329815189985
29,30,Chùa Một Cột,"Văn hóa tôn giáo, tâm linh",0,2.793556280441166
68,70,Cộng Cà Phê Trung Hòa,"Đồ uống, thư giãn",0,2.7892123407296765
164,168,Kem Tràng Tiền Hồ Gươm,"Ẩm thực, nghỉ ngơi",0,2.71228430324102
142,146,Maison Sen Buffet,"Ẩm thực, nghỉ ngơi",0,2.692776879134584
5,6,Đền Quán Thánh,"Văn hóa, lịch sử, nghệ thuật",0,2.6337530385186483
97,100,Chè Thanh Vĩnh Hồ,"Ẩm thực, nghỉ ngơi",0,2.6249666367516937
108,111,Vua Chả Cá Giảng Võ,"Ẩm thực, nghỉ ngơi",0,2.6168967611227174
51,52,Lẩu Ếch Hà My,"Ẩm thực, nghỉ ngơi",0,2.609794195780026
162,166,The Coffee House,"Đồ uống, thư giãn",0,2.5780700010210467
129,133,Starbucks Ba Trieu,"Đồ uống, thư giãn",0,2.538464018744321
139,143,Phở đường tàu ( Various Beef Noodles),"Ẩm thực, nghỉ ngơi",0,2.4720868286374014
14,15,All Day Coffee 55 Hàng Bún,"Đồ uống, thư giãn",0,2.4628884243411022
127,131,Bánh Cuốn Bà Hoành,"Ẩm thực, nghỉ ngơi",0,2.4536631503146396
74,76,Starbucks Duy Tân,"Đồ uống, thư giãn",0,2.4527495794887244
180,184,Đền Gióng Sóc Sơn,"Văn hóa tôn giáo, tâm linh",0,2.4371830491411544
159,163,Phê La Lý Thường Kiệt,"Đồ uống, thư giãn",0,2.42336305125491
109,112,The Coffee House Hào Nam,"Đồ uống, thư giãn",0,2.3966634960384994
30,31,Bảo tàng Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",0,2.3892832768173378
46,47,Highlands Coffee VTV,"Đồ uống, thư giãn",0,2.38751883120257
144,148,Cung Văn hóa Lao động Hữu nghị Việt - Xô,"Văn hóa, lịch sử, nghệ thuật",0,2.3663633969787696
110,113,Bánh Xèo Tôn Đức Thắng,"Ẩm thực, nghỉ ngơi",0,2.359932574890422
140,144,Phở Biên,"Ẩm thực, nghỉ ngơi",0,2.3381860066027826
137,141,Dream Beans Coffee Roastery,"Đồ uống, thư giãn",0,2.3227269551759093
57,58,Bún Bò Huế An Cựu,"Ẩm thực, nghỉ ngơi",0,2.2695428025845104
104,107,Công viên Văn hóa Đống Đa,"Công viên, văn hóa, lịch sử",0,2.2428522039448353
76,78,Trâu Kinh Bắc Thành Thái,"Ẩm thực, nghỉ ngơi",0,2.2419834160025403
120,123,Industry Cafe,"Đồ uống, thư giãn",0,2.2388575707256138
183,188,Bún Bò Huế Ngự Uyển,"Ẩm thực, nghỉ ngơi",0,2.2294352520112
36,37,Miến Lươn Huyền Trang,"Ẩm thực, nghỉ ngơi",0,2.21945762553986
81,83,The Coffee House Nguyễn Khánh Toàn,"Đồ uống, thư giãn",0,2.2148808148335206
163,167,Tràng Tiền Plaza,Trung tâm thương mại,0,2.2046882305207873
50,51,GoGi House,"Ẩm thực, nghỉ ngơi",0,2.196779573272863
26,27,An Nhien Cafe Khuc Hao,"Đồ uống, thư giãn",0,2.193322334657111
83,85,TreeLand Coffee,"Đồ uống, thư giãn",0,2.1565466306253995
48,49,Vincom Metropolis Liễu Giai,Trung tâm thương mại,0,2.15211312514667
105,108,Gieo CafeGieo Cafe,"Đồ uống, thư giãn",0,2.1212039788696444
112,115,Buffet Chay Hương Thiền,Ẩm thực chay,0,2.11415515298728
138,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",0,2.088637865898548
98,101,Quán Bánh mì 35,"Ẩm thực, nghỉ ngơi",0,2.07497012981662
40,41,Haan Vegan - Buffet Chay,"Ẩm thực, nghỉ ngơi",0,2.044589421566357
114,117,Chùa Bộc,"Văn hóa tôn giáo, tâm linh",0,2.042108449813611
47,48,Bún Chả Ngọc Khánh,"Ẩm thực, nghỉ ngơi",0,2.0188661332129527
87,89,Nguyen Art Gallery - Vietnam Artworks & Paintings,"Triển lãm, nghệ thuật",0,2.005153614247405
18,19,Bảo tàng Mỹ thuật Việt Nam,"Văn hóa, lịch sử, nghệ thuật",0,2.0049028300991125
19,20,Vườn hoa Lênin,"Đi dạo, ngắm cảnh",0,1.978033099924943
174,178,Tượng Đài Vua Lý Thái Tổ,"Đi dạo, ngắm cảnh",0,1.969506438883002
13,14,Bánh cuốn Bà Xuân,"Ẩm thực, nghỉ ngơi",0,1.954486259715651
96,99,Laika Cafe Đường Láng,"Đồ uống, thư giãn",0,1.946353688049598
181,185,Du lịch sinh thái Bản Rõm,"Du lịch sinh thái, cắm trại",0,1.933232303147875
125,129,Highlands Coffee Lò Đúc,"Đồ uống, thư giãn",0,1.9233442424437897
102,105,Tiny Cafe Dreamers,"Đồ uống, thư giãn",0,1.916599940170073
100,103,Cộng Cà Phê Thái Hà,"Đồ uống, thư giãn",0,1.8972895607515596
88,90,PHỞ GÀ VĂN MIẾU 17,"Ẩm thực, nghỉ ngơi",0,1.8957938124385407
153,157,Chùa Quán Sứ,"Văn hóa tôn giáo, tâm linh",0,1.8950414599936636
150,154,Bami Bread Bánh Mì Hội An,"Ẩm thực, nghỉ ngơi",0,1.893608407717707
27,28,Quảng trường Ba Đình,"Văn hóa, lịch sử, nghệ thuật",0,1.8843114810774466
122,125,MONO Coffee Lab,"Đồ uống, thư giãn",0,1.8676970312530727
141,145,Xôi Yến,"Ẩm thực, nghỉ ngơi",0,1.847034208749136
54,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",0,1.8468909035215404
93,96,La Mensa,"Đồ uống, thư giãn",0,1.8180417698912095
173,177,Hồ Gươm (Phố đi bộ hồ Gươm),"Đi dạo, ngắm cảnh",0,1.8158563651703759
136,140,KAFA Café,"Đồ uống, thư giãn",0,1.8118706885278755
177,181,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",0,1.8025648053108938
117,120,Vincom Center Phạm Ngọc Thạch,Trung tâm thương mại,0,1.7889508086893073
134,138,Phê La Hàng Cót,"Đồ uống, thư giãn",0,1.777110214259224
182,187,Nhà văn hóa quận Thanh Xuân,"Tổ hợp thể thao, đi dạo ngắm cảnh",0,1.7282789579560358
32,33,Chè Thái Đội Cấn,"Ẩm thực, nghỉ ngơi",0,1.7118705093963484
147,151,Kem Trứng Bà Khanh,"Ẩm thực, nghỉ ngơi",0,1.710123976935023
82,84,Công viên Nghĩa Đô,"Công viên, đi dạo, ngắm cảnh",0,1.7089148390771811
187,192,Vinhomes Royal City,Trung tâm thương mại,0,1.6947634478521252
175,179,Đền Ngọc Sơn,"Văn hóa tôn giáo, tâm linh",0,1.6647141329406736
52,53,Miến lươn Sành Phố Cổ,"Ẩm thực, nghỉ ngơi",0,1.6630840359767802
