,att_id,att_name,att_cat,att_price
0,118,Bánh Mỳ Ô Long,"Ẩm thực, nghỉ ngơi",0
1,129,Highlands Coffee Lò Đúc,"Đồ uống, thư giãn",0
2,1,Hồ Trúc Bạch,"Đi dạo, ngắm cảnh",0
3,191,Vinhomes Royal City,Trung tâm thương mại,0
4,170,Green Palm Gallery,"Triển lãm, nghệ thuật",0
5,149,Nhà hàng chay Sadhu,Ẩm thực chay,0
6,90,PHỞ GÀ VĂN MIẾU 17,"Ẩm thực, nghỉ ngơi",0
7,98,Cộng Cà phê Đường Láng,"Đồ uống, thư giãn",0
8,107,Công viên Văn hóa Đống Đa,"Công viên, văn hóa, lịch sử",0
9,176,Quảng Trường Đông Kinh Nghĩa Thục,"Đi dạo, ngắm cảnh",0
