,att_id,att_name,att_cat,att_price
0,85,TreeLand Coffee,"Đồ uống, thư giãn",0
1,42,Bò King Beefsteak,"Ẩm thực, nghỉ ngơi",0
2,180,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",0
3,147,THE WISELANDS Coffee,"Đồ uống, thư giãn",0
4,183,Điểm Cắm Trại Hồ Hàm Lợn,"Cắm trại, leo núi, trekking",0
5,91,Ga Cát Linh,"Tàu điện, chụp ảnh",0
6,56,Bánh Xèo Nem Lụi Ngọc Dương Đội Cấn,"Ẩm thực, nghỉ ngơi",0
7,75,KF POOL ARENA,"Vui chơi, giải trí",0
8,88,Highlands Coffee Pullman HN,"Đồ uống, thư giãn",0
9,67,Twitter Beans Coffee Vũ Phạm Hàm,"Đồ uống, thư giãn",0
10,56,Bánh Xèo Nem Lụi Ngọc Dương Đội Cấn,"Ẩm thực, nghỉ ngơi",0
