,att_id,att_name,att_cat,att_price,score
118,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",0,5.0
115,139,Cháo Sườn Sụn Huyền Anh Đồng Xuân,"Ẩm thực, nghỉ ngơi",0,4.746983075908261
26,32,Quán Bánh Cuốn Nóng Gia Truyền Đội Cấn,"Ẩm thực, nghỉ ngơi",0,4.661889936575818
14,17,Nhà sàn Bác Hồ,"Văn hóa, lịch sử, nghệ thuật",0,4.658597105070001
160,187,Nhà văn hóa quận Thanh Xuân,"Tổ hợp thể thao, đi dạo ngắm cảnh",0,4.609926931006683
145,170,Green Palm Gallery,"Triển lãm, nghệ thuật",0,4.590685110771915
34,41,Haan Vegan - Buffet Chay,"Ẩm thực, nghỉ ngơi",0,4.555579278105114
21,26,Cộng Cà Phê đường Điện Biên Phủ,"Đồ uống, thư giãn",0,4.401889023080621
119,143,Phở đường tàu ( Various Beef Noodles),"Ẩm thực, nghỉ ngơi",0,4.34560284840547
45,56,Bánh Xèo Nem Lụi Ngọc Dương Đội Cấn,"Ẩm thực, nghỉ ngơi",0,4.2035968342080565
146,172,Nhà hát Lớn Hà Nội,"Văn hóa, lịch sử, nghệ thuật",0,4.172925702036984
61,78,Trâu Kinh Bắc Thành Thái,"Ẩm thực, nghỉ ngơi",0,4.165596496427277
164,192,Vinhomes Royal City,Trung tâm thương mại,0,4.111280709637057
129,154,Bami Bread Bánh Mì Hội An,"Ẩm thực, nghỉ ngơi",0,4.093536596635573
109,133,Starbucks Ba Trieu,"Đồ uống, thư giãn",0,4.091720228288821
138,163,Phê La Lý Thường Kiệt,"Đồ uống, thư giãn",0,3.9189634166419722
156,183,Điểm Cắm Trại Hồ Hàm Lợn,"Cắm trại, leo núi, trekking",0,3.790978491437045
127,152,Namaste Ha Noi,"Ẩm thực, nghỉ ngơi",0,3.714170541054706
154,181,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",0,3.6344468414841486
122,146,Maison Sen Buffet,"Ẩm thực, nghỉ ngơi",0,3.5644423058743016
19,24,Điện Kính Thiên,"Văn hóa, lịch sử, nghệ thuật",0,3.53761635113905
114,138,Phê La Hàng Cót,"Đồ uống, thư giãn",0,3.5328789225855317
86,108,Gieo CafeGieo Cafe,"Đồ uống, thư giãn",0,3.491314891352495
82,104,Xưởng Cafe Hoàng Cầu,"Đồ uống, thư giãn",0,3.4055260085889785
8,11,TỔ CHIM XANH - BLUEBIRDS' NEST,"Đồ uống, thư giãn",0,3.382948868699934
101,125,MONO Coffee Lab,"Đồ uống, thư giãn",0,3.3609187637223457
48,60,Pizza 4P's Phan Ké Bính,"Ẩm thực, nghỉ ngơi",0,3.320735597314325
100,124,Ưu Đàm Chay,Ẩm thực chay,0,3.273228536315152
12,15,All Day Coffee 55 Hàng Bún,"Đồ uống, thư giãn",0,3.27304265066563
10,13,Chùa Châu Long,"Văn hóa tôn giáo, tâm linh",0,3.2721875766778297
56,71,Highlands Coffee Trung Kính,"Đồ uống, thư giãn",0,3.2614911853024964
104,128,Vườn Hoa Pasteur,"Công viên, đi dạo, ngắm cảnh",0,3.2581717987038985
64,81,Chùa Hà,"Văn hóa tôn giáo, tâm linh",0,3.2559199268354035
57,72,AHA Cafe Trung Kính,"Đồ uống, thư giãn",0,3.2333321649092497
44,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",0,3.22941263321362
102,126,Highlands Coffee Trần Nhân Tông,"Đồ uống, thư giãn",0,3.2211752434305367
106,130,Vincom Center Bà Triệu,Trung tâm thương mại,0,3.2018856240287477
77,98,Cộng Cà phê Đường Láng,"Đồ uống, thư giãn",0,3.156460482304219
47,59,Bảo tàng Chiến thắng B-52,"Văn hóa, lịch sử, nghệ thuật",0,3.153321670336581
80,101,Quán Bánh mì 35,"Ẩm thực, nghỉ ngơi",0,3.1399697696823665
121,145,Xôi Yến,"Ẩm thực, nghỉ ngơi",0,3.1367406703992486
73,94,Bún Đậu Chùa Láng,"Ẩm thực, nghỉ ngơi",0,3.133941763619312
131,156,Quán Chay Bồ Đề,Ẩm thực chay,0,3.1249236541082297
163,190,Trung tâm Nghệ thuật đương đại Vincom,"Triển lãm, nghệ thuật",0,3.113149125965677
89,111,Vua Chả Cá Giảng Võ,"Ẩm thực, nghỉ ngơi",0,3.092951322390512
