,att_id,att_name,att_cat,att_price
0,3,STAR3 CLUB,"Vui chơi, giải trí về đêm",804894
1,18,Cafe Goethe,"Đồ uống, thư giãn",293689
2,22,Cột cờ Hà Nội,"Văn hóa, lịch sử, nghệ thuật",991362
3,89,Nguyen Art Gallery - Vietnam Artworks & Paintings,"Triển lãm, nghệ thuật",128975
4,77,Bún Riêu Bề Bề Tiến Huân,"Ẩm thực, nghỉ ngơi",372286
5,92,Chùa Láng,"Văn hóa tôn giáo, tâm linh",253955
6,176,Quảng Trường Đông Kinh Nghĩa Thục,"Đi dạo, ngắm cảnh",463683
7,6,Đền Quán Thánh,"Văn hóa, lịch sử, nghệ thuật",339314
8,51,GoGi House,"Ẩm thực, nghỉ ngơi",843611
9,64,Vincom Center Trần Duy Hưng,Trung tâm thương mại,342989
10,61,Joma Bakery Café • Liễu Giai,"Đồ uống, thư giãn",649718
11,47,Highlands Coffee VTV,"Đồ uống, thư giãn",400304
12,77,Bún Riêu Bề Bề Tiến Huân,"Ẩm thực, nghỉ ngơi",372286
13,61,Joma Bakery Café • Liễu Giai,"Đồ uống, thư giãn",649718
14,65,Trung Nguyên Legend Café,"Đồ uống, thư giãn",966819
15,85,TreeLand Coffee,"Đồ uống, thư giãn",924501
16,50,Phê La Núi Trúc,"Đồ uống, thư giãn",859799
17,102,The Coffee House,"Đồ uống, thư giãn",637085
18,91,Ga Cát Linh,"Tàu điện, chụp ảnh",258107
19,76,Starbucks Duy Tân,"Đồ uống, thư giãn",993312
20,57,Quán Cháo Sườn sụn Đội Cấn,"Ẩm thực, nghỉ ngơi",291595
21,34,Công viên Indira Gandhi,"Công viên, đi dạo, ngắm cảnh",789826
22,48,Bún Chả Ngọc Khánh,"Ẩm thực, nghỉ ngơi",712234
23,116,Bánh Đúc Nóng Trung Tự,"Ẩm thực, nghỉ ngơi",923260
24,30,Chùa Một Cột,"Văn hóa tôn giáo, tâm linh",116520
25,117,Chùa Bộc,"Văn hóa tôn giáo, tâm linh",419241
26,171,Quán Kem Xôi Thu Nga,"Ẩm thực, nghỉ ngơi",351018
27,147,THE WISELANDS Coffee,"Đồ uống, thư giãn",501301
28,191,Vinhomes Royal City,Trung tâm thương mại,245168
