,att_id,att_name,att_cat,att_price,score
154,162,Trung Nguyên Legend Café,"Đồ uống, thư giãn",362631,4.999999999999993
157,165,Bảo Tàng Phụ Nữ Việt Nam,"Văn hóa, lịch sử, nghệ thuật",746222,4.98544353248672
7,8,Nhà Thờ Cửa Bắc,"Văn hóa tôn giáo, tâm linh",171378,4.626200761979028
118,122,The Sipping Bar - Waterfront,"Đồ uống, thư giãn",340036,4.550574562682961
150,158,Bảo tàng Công An Hà Nội,"Văn hóa, lịch sử, nghệ thuật",240894,4.460062066549291
82,85,TreeLand Coffee,"Đồ uống, thư giãn",924501,4.290984225362841
99,102,The Coffee House,"Đồ uống, thư giãn",637085,4.217212399823502
181,190,Trung tâm Nghệ thuật đương đại Vincom,"Triển lãm, nghệ thuật",470908,3.87380143688312
176,184,Đền Gióng Sóc Sơn,"Văn hóa tôn giáo, tâm linh",19621,3.861854285802231
35,38,Quán Xôi Xéo Oanh Oanh,"Ẩm thực, nghỉ ngơi",825182,3.7628834998849285
26,28,Quảng trường Ba Đình,"Văn hóa, lịch sử, nghệ thuật",702329,3.750232712912158
0,1,Hồ Trúc Bạch,"Đi dạo, ngắm cảnh",31776,3.747484135209497
170,178,Tượng Đài Vua Lý Thái Tổ,"Đi dạo, ngắm cảnh",961433,3.691735649859048
179,188,Bún Bò Huế Ngự Uyển,"Ẩm thực, nghỉ ngơi",36131,3.606456445671249
27,29,Lăng Chủ tịch Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",692180,3.5764859544014556
107,111,Vua Chả Cá Giảng Võ,"Ẩm thực, nghỉ ngơi",566429,3.5492273931316376
120,126,Highlands Coffee Trần Nhân Tông,"Đồ uống, thư giãn",327175,3.541421432456083
16,17,Nhà sàn Bác Hồ,"Văn hóa, lịch sử, nghệ thuật",954293,3.5013361752405174
114,118,Bánh Mỳ Ô Long,"Ẩm thực, nghỉ ngơi",197167,3.500354016808096
104,108,Gieo CafeGieo Cafe,"Đồ uống, thư giãn",27184,3.4931783966190224
167,175,Nhà Thờ Lớn Hà Nội,"Văn hóa tôn giáo, tâm linh",186181,3.481714995213814
5,6,Đền Quán Thánh,"Văn hóa, lịch sử, nghệ thuật",339314,3.474172897997711
131,138,Phê La Hàng Cót,"Đồ uống, thư giãn",54152,3.400701583620524
121,127,Phở Thìn 13 Lò Đúc,"Ẩm thực, nghỉ ngơi",929502,3.3960693139989857
56,59,Bảo tàng Chiến thắng B-52,"Văn hóa, lịch sử, nghệ thuật",670558,3.3640318922968007
102,106,Skyline Coffee,"Đồ uống, thư giãn",427620,3.3498125836483794
