,att_id,att_name,att_cat,att_price
0,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",327394
1,34,Công viên Indira Gandhi,"Công viên, đi dạo, ngắm cảnh",789826
2,60,Pizza 4P's Phan Ké Bính,"Ẩm thực, nghỉ ngơi",778422
3,173,Bảo tàng Lịch sử Quốc gia,"Văn hóa, lịch sử, nghệ thuật",979377
4,164,Bún Đậu Cô Tuyến Mắm Tôm Hàng Khay,"Ẩm thực, nghỉ ngơi",937965
5,132,Vua Chả Cá Mai Hắc Đế,"Ẩm thực, nghỉ ngơi",859225
6,169,Cyril Kongo Hanoi Gallery,"Triển lãm, nghệ thuật",758680
7,46,Paris Gateaux Cafe,"Đồ uống, thư giãn",931441
8,36,Tiny Cafe,"Đồ uống, thư giãn",308757
9,51,GoGi House,"Ẩm thực, nghỉ ngơi",843611
10,117,Chùa Bộc,"Văn hóa tôn giáo, tâm linh",419241
11,23,Hoàng Thành Thăng Long,"Văn hóa, lịch sử, nghệ thuật",39092
12,133,Starbucks Ba Trieu,"Đồ uống, thư giãn",449917
13,167,Tràng Tiền Plaza,Trung tâm thương mại,42068
14,88,Highlands Coffee Pullman HN,"Đồ uống, thư giãn",800184
15,159,San Ho seafood restaurant,"Ẩm thực, nghỉ ngơi",230338
16,1,Hồ Trúc Bạch,"Đi dạo, ngắm cảnh",31776
17,68,The Coffee House Vũ Phạm Hàm,"Đồ uống, thư giãn",132153
