,att_id,att_name,att_cat,att_price
0,180,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",359546
1,14,Bánh cuốn Bà Xuân,"Ẩm thực, nghỉ ngơi",264552
2,90,PHỞ GÀ VĂN MIẾU 17,"Ẩm thực, nghỉ ngơi",484027
3,173,Bảo tàng Lịch sử Quốc gia,"Văn hóa, lịch sử, nghệ thuật",979377
4,136,Vincom Mega Mall Times City,Trung tâm thương mại,178104
5,145,Xôi Yến,"Ẩm thực, nghỉ ngơi",504776
6,172,Nhà hát Lớn Hà Nội,"Văn hóa, lịch sử, nghệ thuật",855820
7,30,Chùa Một Cột,"Văn hóa tôn giáo, tâm linh",116520
8,155,Nhà hàng Chay Vị Lai,Ẩm thực chay,631357
9,96,La Mensa,"Đồ uống, thư giãn",81565
