,att_id,att_name,att_cat,att_price
0,103,Cộng Cà Phê Thái Hà,"Đồ uống, thư giãn",765550
1,162,Trung Nguyên Legend Café,"Đồ uống, thư giãn",362631
2,108,Gieo CafeGieo Cafe,"Đồ uống, thư giãn",27184
3,113,Bánh Xèo Tôn Đức Thắng,"Ẩm thực, nghỉ ngơi",9676
4,135,Công viên Tuổi Trẻ Thủ Đô,"Công viên, đi dạo, ngắm cảnh",442764
5,154,Bami Bread Bánh Mì Hội An,"Ẩm thực, nghỉ ngơi",840778
6,82,Bảo tàng Dân tộc học Việt Nam,"Văn hóa, lịch sử, nghệ thuật",354982
7,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",987828
8,81,Chùa Hà,"Văn hóa tôn giáo, tâm linh",61296
9,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",987828
10,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",327394
11,169,Cyril Kongo Hanoi Gallery,"Triển lãm, nghệ thuật",758680
12,130,Vincom Center Bà Triệu,Trung tâm thương mại,436358
13,15,All Day Coffee 55 Hàng Bún,"Đồ uống, thư giãn",642997
14,156,Quán Chay Bồ Đề,Ẩm thực chay,564464
15,45,AHA Cafe,"Đồ uống, thư giãn",898826
16,52,Lẩu Ếch Hà My,"Ẩm thực, nghỉ ngơi",851755
17,179,Đền Ngọc Sơn,"Văn hóa tôn giáo, tâm linh",338034
18,159,San Ho seafood restaurant,"Ẩm thực, nghỉ ngơi",230338
19,83,The Coffee House Nguyễn Khánh Toàn,"Đồ uống, thư giãn",18618
20,99,Laika Cafe Đường Láng,"Đồ uống, thư giãn",410539
