,att_id,att_name,att_cat,att_price
0,33,Chè Thái Đội Cấn,"Ẩm thực, nghỉ ngơi",152360
1,91,Ga Cát Linh,"Tàu điện, chụp ảnh",258107
2,137,VinKE & Thủy Cung Times City,"Thủy cung, vui chơi giải trí",828679
3,180,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",359546
4,8,Nhà Thờ Cửa Bắc,"Văn hóa tôn giáo, tâm linh",171378
5,179,Đền Ngọc Sơn,"Văn hóa tôn giáo, tâm linh",338034
6,20,Vườn hoa Lênin,"Đi dạo, ngắm cảnh",661955
7,3,STAR3 CLUB,"Vui chơi, giải trí về đêm",804894
8,30,Chùa Một Cột,"Văn hóa tôn giáo, tâm linh",116520
9,115,Buffet Chay Hương Thiền,Ẩm thực chay,612297
