,att_id,att_name,att_cat,att_price
0,118,Bánh Mỳ Ô Long,"Ẩm thực, nghỉ ngơi",197167
1,129,Highlands Coffee Lò Đúc,"Đồ uống, thư giãn",821714
2,1,Hồ Trúc Bạch,"Đi dạo, ngắm cảnh",31776
3,191,Vinhomes Royal City,Trung tâm thương mại,245168
4,170,Green Palm Gallery,"Triển lãm, nghệ thuật",366307
5,149,Nhà hàng chay Sadhu,Ẩm thực chay,82722
6,90,PHỞ GÀ VĂN MIẾU 17,"Ẩm thực, nghỉ ngơi",484027
7,98,Cộng Cà phê Đường Láng,"Đồ uống, thư giãn",676269
8,107,Công viên Văn hóa Đống Đa,"Công viên, văn hóa, lịch sử",432697
9,176,Quảng Trường Đông Kinh Nghĩa Thục,"Đi dạo, ngắm cảnh",463683
