,att_id,att_name,att_cat,att_price,score
154,162,Trung Nguyên Legend Café,"Đồ uống, thư giãn",362631,4.999999999999993
157,165,Bảo Tàng Phụ Nữ Việt Nam,"Văn hóa, lịch sử, nghệ thuật",746222,4.9804810725552
6,8,Nhà Thờ Cửa Bắc,"Văn hóa tôn giáo, tâm linh",171378,4.613966292791211
116,122,The Sipping Bar - Waterfront,"Đồ uống, thư giãn",340036,4.534722222222221
150,158,Bảo tàng Công An Hà Nội,"Văn hóa, lịch sử, nghệ thuật",240894,4.375715620983762
83,85,TreeLand Coffee,"Đồ uống, thư giãn",924501,4.225625073022549
98,102,The Coffee House,"Đồ uống, thư giãn",637085,4.116091248977675
138,145,Xôi Yến,"Ẩm thực, nghỉ ngơi",504776,4.10667134010982
174,184,Đền Gióng Sóc Sơn,"Văn hóa tôn giáo, tâm linh",19621,3.8638494567122237
180,190,Trung tâm Nghệ thuật đương đại Vincom,"Triển lãm, nghệ thuật",470908,3.8059060637924986
26,28,Quảng trường Ba Đình,"Văn hóa, lịch sử, nghệ thuật",702329,3.7149929898352596
168,178,Tượng Đài Vua Lý Thái Tổ,"Đi dạo, ngắm cảnh",961433,3.6731802780698715
36,38,Quán Xôi Xéo Oanh Oanh,"Ẩm thực, nghỉ ngơi",825182,3.6707705339408747
178,188,Bún Bò Huế Ngự Uyển,"Ẩm thực, nghỉ ngơi",36131,3.575059878490471
103,108,Gieo CafeGieo Cafe,"Đồ uống, thư giãn",27184,3.5391327842037654
27,29,Lăng Chủ tịch Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",692180,3.524477158546553
106,111,Vua Chả Cá Giảng Võ,"Ẩm thực, nghỉ ngơi",566429,3.5226588970674086
120,126,Highlands Coffee Trần Nhân Tông,"Đồ uống, thư giãn",327175,3.492675838298858
166,175,Nhà Thờ Lớn Hà Nội,"Văn hóa tôn giáo, tâm linh",186181,3.443276083654631
15,17,Nhà sàn Bác Hồ,"Văn hóa, lịch sử, nghệ thuật",954293,3.4390188690267465
4,6,Đền Quán Thánh,"Văn hóa, lịch sử, nghệ thuật",339314,3.4295113330996614
57,59,Bảo tàng Chiến thắng B-52,"Văn hóa, lịch sử, nghệ thuật",670558,3.3584092767846627
160,168,Kem Tràng Tiền Hồ Gươm,"Ẩm thực, nghỉ ngơi",368928,3.341460743077455
131,138,Phê La Hàng Cót,"Đồ uống, thư giãn",54152,3.306775032129913
121,127,Phở Thìn 13 Lò Đúc,"Ẩm thực, nghỉ ngơi",929502,3.3032845542703555
102,106,Skyline Coffee,"Đồ uống, thư giãn",427620,3.2824731277018273
118,124,Ưu Đàm Chay,Ẩm thực chay,646243,3.2821299217198217
18,20,Vườn hoa Lênin,"Đi dạo, ngắm cảnh",661955,3.2483496903843943
0,2,Hanoi Studio Gallery,"Văn hóa, lịch sử, nghệ thuật",1951,3.2383090898469433
80,82,Bảo tàng Dân tộc học Việt Nam,"Văn hóa, lịch sử, nghệ thuật",354982,3.227019803715386
109,114,Cháo Hồng Lương Sử,"Ẩm thực, nghỉ ngơi",626667,3.2002716438836316
38,40,Công viên Thủ Lệ,"Công viên, giải trí, đi dạo, ngắm cảnh",568177,3.1958318728823443
25,27,An Nhien Cafe Khuc Hao,"Đồ uống, thư giãn",41917,3.19209311835494
65,67,Twitter Beans Coffee Vũ Phạm Hàm,"Đồ uống, thư giãn",634854,3.188485804416395
104,109,Công Viên 1/6,"Công viên, đi dạo, ngắm cảnh",17924,3.168331580792149
55,57,Quán Cháo Sườn sụn Đội Cấn,"Ẩm thực, nghỉ ngơi",291595,3.158531954667602
43,45,AHA Cafe,"Đồ uống, thư giãn",898826,3.153931534057712
99,103,Cộng Cà Phê Thái Hà,"Đồ uống, thư giãn",765550,3.1330835962145116
136,143,Phở đường tàu ( Various Beef Noodles),"Ẩm thực, nghỉ ngơi",549520,3.125284787942512
67,69,Highlands Coffee Vũ Phạm Hàm,"Đồ uống, thư giãn",758676,3.119895723799509
28,30,Chùa Một Cột,"Văn hóa tôn giáo, tâm linh",116520,3.116368734665265
8,10,Manzi Art Space and Cafe,"Đồ uống, thư giãn",197745,3.0993909919383142
100,104,Xưởng Cafe Hoàng Cầu,"Đồ uống, thư giãn",456860,3.0371538731160186
96,100,Chè Thanh Vĩnh Hồ,"Ẩm thực, nghỉ ngơi",130857,2.9963196635120894
44,46,Paris Gateaux Cafe,"Đồ uống, thư giãn",931441,2.964737410912484
20,22,Cột cờ Hà Nội,"Văn hóa, lịch sử, nghệ thuật",991362,2.9611081902091385
123,130,Vincom Center Bà Triệu,Trung tâm thương mại,436358,2.8743574015655966
48,50,Phê La Núi Trúc,"Đồ uống, thư giãn",859799,2.861300969739453
111,116,Bánh Đúc Nóng Trung Tự,"Ẩm thực, nghỉ ngơi",923260,2.8609066479728895
