,att_id,att_name,att_cat,att_price
0,117,Chùa Bộc,"Văn hóa tôn giáo, tâm linh",419241
1,73,Công viên Cầu Giấy,"Công viên, đi dạo, ngắm cảnh",626318
2,15,All Day Coffee 55 Hàng Bún,"Đồ uống, thư giãn",642997
3,111,Vua Chả Cá Giảng Võ,"Ẩm thực, nghỉ ngơi",566429
4,172,Nhà hát Lớn Hà Nội,"Văn hóa, lịch sử, nghệ thuật",855820
5,178,Tượng Đài Vua Lý Thái Tổ,"Đi dạo, ngắm cảnh",961433
6,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",327394
7,64,Vincom Center Trần Duy Hưng,Trung tâm thương mại,342989
8,140,KAFA Café,"Đồ uống, thư giãn",743765
9,111,Vua Chả Cá Giảng Võ,"Ẩm thực, nghỉ ngơi",566429
